In Win SR36 PRO IW-LC-SR36PRO,水冷型 | 120x120x26 mm | 101.5 CFM | 2020-12-18発売
クーラーマスター MasterLiquid ML240L V2 ARGB MLW-D24M-A18PA-R2,水冷型 | 120x120x25 mm | 62.0 CFM | 2020-07-22発売
Thermaltake UX100 ARGB CL-P064-AL12SW-A,トップフロー型 | 120x120x25 mm | 38.8 CFM | 2019-10-18発売
Silverstone SST-KR03,サイドフロー型 | 92x92x25 mm | 32.4 CFM | 2020-06-19発売
Noctua NH-L9i chromax.black,トップフロー型 | 92x92x25 mm | 2019-11-08発売
クーラーマスター I50 RH-I50-20FK-R1,トップフロー型 | 92x92x25 mm | 34.0 CFM | 2018-07-27発売
Noctua NH-D9L,サイドフロー型 | 92x92x25 mm
Noctua NH-L12S,トップフロー型 | 120x120x15 mm
Jonsbo CR-901-RGB,トップフロー型 | 120x120x25 mm | 42.3 CFM | 2019-02-21発売
ASUS ROG Strix LC 360 RGB White Edition,水冷型 | 120x120x25 mm | 81.0 CFM | 2020-02-14発売
Enermax ETS-F40-FS,サイドフロー型 | 140x140x25.5 mm | 74.3 CFM | 2020-10-09発売
Fractal Design Celsius+ S36 Dynamic FD-W-2-S3601,水冷型 | 87.6 CFM | 2020-04-17発売
Lian Li Galahad AIO 240 RGB,水冷型 | 120x120x26 mm | 69.2 CFM | 2020-07-28発売
Corsair H115i RGB PLATINUM CW-9060038-WW,水冷型 | 140x140x25 mm | 97.0 CFM | 2018-12-15発売
ID-COOLING IS-40X,トップフロー型 | 92x92x15 mm | 44.3 CFM | 2018-12-26発売
Deepcool GAMMAXX GT V2 DP-MCH4-GMX-GTV2,サイドフロー型 | 120x120x25 mm | 64.5 CFM | 2020-04-24発売
Corsair H100i RGB PLATINUM CW-9060039-WW,水冷型 | 120x120x25 mm | 75.0 CFM | 2018-12-15発売
Thermaltake TH360 ARGB Sync Snow Edition CL-W302-PL12SW-A,水冷型 | 120x120x25 mm | 59.3 CFM | 2020-11-27発売
クーラーマスター I70C RR-I70C-20PK-R1,トップフロー型 | 120x120x25 mm | 37.0 CFM | 2018-05-25発売
Cryorig M9 Plus,サイドフロー型 | 92x92x25.4 mm | 48.4 CFM | 2018-08-21発売
Thermaltake Water 3.0 360 ARGB Sync CL-W234-PL12SW-A,水冷型 | 120x120x25 mm | 56.5 CFM | 2019-06-28発売
Silverstone SST-PF240W-ARGB,水冷型 | 120x120x25 mm | 94.0 CFM | 2020-12-22発売
クーラーマスター MasterLiquid ML120L V2 RGB MLW-D12M-A18PC-R2,水冷型 | 120x120x25 mm | 62.0 CFM | 2020-07-22発売
Fractal Design Celsius+ S28 Dynamic FD-W-2-S2801,水冷型 | 2020-04-17発売
Noctua NH-L9i,トップフロー型 | 92x92x14 mm
ASUS ROG STRIX LC 240 RGB,水冷型 | 120x120x25 mm | 81.0 CFM | 2020-02-14発売
Cryorig H7 QUAD LUMI,サイドフロー型 | 120x120x25.4 mm | 49.0 CFM | 2017-06-01発売
Thermaltake TH360 ARGB Sync CL-W300-PL12SW-A,水冷型 | 120x120x25 mm | 59.3 CFM | 2020-09-25発売
Deepcool GAMER STORM CASTLE 240EX DP-GS-H12W-CSL240EXWH,水冷型 | 120x120x25 mm | 64.4 CFM | 2020-04-17発売
Ainex CC-06S,トップフロー型 | 96x96x25 mm | 46.0 CFM | 2019-07-31発売
ASUS ROG STRIX LC 360 RGB,水冷型 | 120x120x25 mm | 81.0 CFM | 2020-02-01発売
クーラーマスター MasterLiquid ML360L V2 ARGB MLW-D36M-A18PA-R2,水冷型 | 120x120x25 mm | 62.0 CFM | 2020-07-22発売
Pccooler GI-46U,トップフロー型 | 120x120x25 mm | 65.0 CFM | 2019-01-29発売
クーラーマスター Hyper 212 EVO V2 RR-2V2E-18PK-R1,サイドフロー型 | 120x120x25 mm | 62.0 CFM | 2020-10-16発売
Deepcool GAMMAXX L360 V2 DP-H12RF-GL360V2C,水冷型 | 120x120x25 mm | 69.3 CFM | 2020-02-07発売
Fractal Design Celsius+ S24 Dynamic FD-W-2-S2401,水冷型 | 87.6 CFM | 2020-04-17発売
Pccooler GI-X5B,サイドフロー型 | 120x120x26.5 mm | 65.0 CFM
サイズ 白虎 弐 AMD専用版 SCBYK-2000A,サイドフロー型 | 92x92x26 mm | 48.9 CFM | 2019-11-14発売
In Win SR24 PRO IW-LC-SR24PRO,水冷型 | 120x120x26 mm | 101.5 CFM | 2020-12-18発売
