SanDisk SSD PLUS SDSSDA-240G-G26,容量 240GB | 2.5インチ | Serial ATA 6Gb/s
SanDisk ウルトラ 3D SSD SDSSDH3-4T00-J25,容量 4TB | 2.5インチ | Serial ATA 6Gb/s
サムスン 870 QVO MZ-77Q8T0B/IT,容量 8TB | MLC | 2.5インチ | Serial ATA 6Gb/s | 2020-08-01発売
ADATA XPG GAMMIX S50 Lite AGAMMIXS50L-1T-C,容量 1TB | 3D MLC | M.2 (Type2280) | PCI-Express Gen4
Apacer AS340 AP480GAS340G-1,容量 480GB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s
トランセンド TS1TMTE220S,容量 1TB | 3D MLC | M.2 (Type2280) | PCI-Express Gen3
バッファロー SSD-PUT500U3-BKA,容量 500GB | USB | 2020-12-01発売
ロジテック LMD-MPB512,容量 512GB | M.2 (Type2280) | PCI-Express Gen3 | 2020-05-28発売
CFD PG3VNF CSSD-M2B1TPG3VNF,容量 1TB | 3D TLC | M.2 (Type2280) | PCI-Express Gen4 | 2019-07-01発売
Plextor M8VC Plus PX-256M8VC+,容量 256GB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s | 2020-10-30発売
ロジテック LMD-MP512,容量 512GB | M.2 (Type2280) | PCI-Express Gen3 | 2019-09-17発売
AGI 960G17AI178,容量 960GB | 3D MLC | 2.5インチ | Serial ATA 6Gb/s
Crucial BX500 CT480BX500SSD1,容量 480GB | 3D MLC | 2.5インチ | Serial ATA 6Gb/s
Adtec AD-M2GS80-256G,容量 256GB | 3D TLC | M.2 (Type2280) | Serial ATA 6Gb/s | 2020-02-01発売
トランセンド 110S TS128GMTE110S,容量 128GB | 3D MLC | M.2 (Type2280) | PCI-Express Gen3
SanDisk SSD PLUS SDSSDA-1T00-J26,容量 1TB | 2.5インチ | Serial ATA 6Gb/s
Silicon Power Ace A55 SP512GBSS3A55S25,容量 512GB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s
AGI 256G06AI138,容量 256GB | TLC | 2.5インチ | Serial ATA 6Gb/s
Western Digital WD Blue 3D NAND SATA WDS500G2B0B,容量 500GB | 3D MLC | M.2 (Type2280) | Serial ATA 6Gb/s | 2017-08-01発売
サムスン 970 EVO MZ-V7E500B/IT,容量 500GB | MLC | M.2 (Type2280) | PCI-Express Gen3 | 2018-05-01発売
Crucial P2 CT500P2SSD8JP,容量 500GB | 3D QLC | M.2 (Type2280) | PCI-Express Gen3 | 2020-04-26発売
Western Digital WD Red SA500 NAS SATA WDS400T1R0A,容量 4TB | 3D MLC | 2.5インチ | Serial ATA 6Gb/s | 2019-11-29発売
Plextor M8VC PX-256M8VC,容量 256GB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s | 2019-04-26発売
SanDisk ウルトラ 3D SSD SDSSDH3-1T00-J25,容量 1TB | 2.5インチ | Serial ATA 6Gb/s | 2017-08-01発売
Apacer AS340 AP240GAS340G-1,容量 240GB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s
Western Digital WD Red SA500 NAS SATA WDS100T1R0A,容量 1TB | 3D MLC | 2.5インチ | Serial ATA 6Gb/s | 2019-11-29発売
Plextor M9PG Plus PX-512M9PG +,容量 512GB | 3D TLC | M.2 (Type2280) | PCI-Express Gen3 | 2020-05-01発売
CFD PG3VNF CSSD-M2B5GPG3VNF,容量 500GB | 3D TLC | M.2 (Type2280) | PCI-Express Gen4 | 2019-08-01発売
トランセンド SSD220 TS120GSSD220S,容量 120GB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s
SanDisk SSD PLUS SDSSDA-240G-J26,容量 240GB | TLC | 2.5インチ | Serial ATA 6Gb/s | 2016-06-01発売
ESSENCORE KLEVV CRAS C710 K256GM2SP0-C71,容量 256GB | 3D TLC | M.2 (Type2280) | PCI-Express Gen3
Corsair Force Series MP510 CSSD-F960GBMP510B,容量 960GB | 3D TLC | M.2 (Type2280) | PCI-Express Gen3 | 2020-03-19発売
AGI 512G17AI178,容量 512GB | 2.5インチ | Serial ATA 6Gb/s
旭東エレクトロニクス SE800-1TB,容量 1TB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s
CFD PG4VNZ CSSD-M2M2TPG4VNZ,容量 2TB | 3D TLC | M.2 (Type2280) | PCI-Express Gen4 | 2020-10-01発売
Western Digital WD Black SN750 NVMe WDS500G3X0C,容量 500GB | 3D MLC | M.2 (Type2280) | PCI-Express Gen3 | 2019-01-23発売
ESSENCORE KLEVV NEO N400 K480GSSDS3-N40,容量 480GB | 2.5インチ | Serial ATA 6Gb/s
Western Digital WD Blue 3D NAND SATA WDS250G2B0A,容量 250GB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s | 2017-08-01発売
Western Digital WD Black SN750 NVMe WDS200T3X0C,容量 2TB | 3D MLC | M.2 (Type2280) | PCI-Express Gen3 | 2019-02-01発売
ロジテック LMD-PBR960U3BK,容量 960GB | 2.5インチ | USB | 2019-09-19発売
ADATA Ultimate SU650 ASU650SS-120GT-R,容量 120GB | 3D MLC | 2.5インチ | Serial ATA 6Gb/s
Western Digital WD Blue 3D NAND SATA WDS200T2B0A,容量 2TB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s | 2017-08-01発売
サムスン 980 PRO MZ-V8P500B/IT,容量 500GB | MLC | M.2 (Type2280) | PCI-Express Gen4 | 2020-10-01発売
トランセンド SSD220 TS240GSSD220S,容量 240GB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s
ESSENCORE KLEVV NEO N400 K120GSSDS3-N40,容量 120GB | 2.5インチ | Serial ATA 6Gb/s
SanDisk エクストリーム SDSSDE60-500G-J25,容量 500GB | USB | 2018-05-01発売
SanDisk ウルトラ 3D SSD SDSSDH3-2T00-J25,容量 2TB | 2.5インチ | Serial ATA 6Gb/s | 2017-08-01発売
Seagate BarraCuda 120 SSD ZA500CM1A003,容量 500GB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s
Crucial P2 CT1000P2SSD8JP,容量 1TB | 3D QLC | M.2 (Type2280) | PCI-Express Gen3 | 2020-10-01発売
Western Digital WD_Black SN850 NVMe WDS200T1X0E-00AFY0,容量 2TB | 3D MLC | M.2 (Type2280) | PCI-Express Gen4 | 2020-11-01発売
Western Digital WD Blue 3D NAND SATA WDS250G2B0B,容量 250GB | 3D MLC | M.2 (Type2280) | Serial ATA 6Gb/s | 2017-08-01発売
サムスン 870 QVO MZ-77Q2T0B/IT,容量 2TB | MLC | 2.5インチ | Serial ATA 6Gb/s | 2020-08-01発売
Micron M600 MTFDDAK128MBF,容量 128GB | MLC | 2.5インチ | Serial ATA 6Gb/s
トランセンド TS2TMTE220S,容量 2TB | 3D MLC | M.2 (Type2280) | PCI-Express Gen3
サムスン 970 EVO Plus MZ-V7S500B/IT,容量 500GB | MLC | M.2 (Type2280) | PCI-Express Gen3 | 2019-02-01発売
Western Digital My Passport Go WDBMCG0010BBT-WESN,容量 1TB | USB | 2019-03-01発売
バッファロー SSD-PGM960U3-B/N,容量 960GB | USB | 2019-11-01発売
SanDisk エクストリーム プロ SDSSDE80-2T00-J25,容量 2TB | USB | 2019-09-01発売
Crucial MX500 CT2000MX500SSD1/JP,容量 2TB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s | 2018-01-01発売
バッファロー SSD-PG240U3-BA,容量 240GB | USB | 2019-02-01発売
Western Digital WD Black SN750 NVMe WDS100T3XHC,容量 1TB | 3D MLC | M.2 (Type2280) | PCI-Express Gen3 | 2019-05-01発売
ESSENCORE KLEVV CRAS C710 K01TBM2SP0-C71,容量 1TB | 3D TLC | M.2 (Type2280) | PCI-Express Gen3
トランセンド TS512GMTE220S,容量 512GB | 3D MLC | M.2 (Type2280) | PCI-Express Gen3 | 2019-02-01発売
CFD PG3VND CSSD-M2B5GPG3VND,容量 500GB | TLC | M.2 (Type2280) | PCI-Express Gen4 | 2020-08-01発売
Seagate BarraCuda 120 SSD ZA1000CM1A003,容量 1TB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s
ADATA Ultimate SU650 ASU650SS-240GT-R,容量 240GB | 3D MLC | 2.5インチ | Serial ATA 6Gb/s
Silicon Power PCIe Gen3x4 P34A60 SP001TBP34A60M28,容量 1TB | 3D MLC | M.2 (Type2280) | PCI-Express Gen3
CFD EG1VNE CSSD-M2M5GEG1VNE,容量 500GB | 3D QLC | M.2 (Type2280) | PCI-Express Gen3 | 2020-03-01発売
エレコム ESD-EMN0128GBK,容量 128GB | USB
バッファロー SSD-PGM1.9U3-B/N,容量 1.9TB | USB | 2019-11-01発売
旭東エレクトロニクス SE800-2TB,容量 2TB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s
Western Digital WD Blue 3D NAND SATA WDS100T2B0B,容量 1TB | 3D MLC | M.2 (Type2280) | Serial ATA 6Gb/s | 2017-08-01発売
Seagate BarraCuda 120 SSD ZA250CM1A003,容量 250GB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s
旭東エレクトロニクス SE800-360GB,容量 360GB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s | 2017-11-20発売
バッファロー SSD-PGM480U3-B/N,容量 480GB | USB | 2019-11-01発売
HP S700 2DP98AA#UUF,容量 250GB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s | 2018-10-15発売
Adtec AD-M2GS80-128G,容量 128GB | 3D TLC | M.2 (Type2280) | Serial ATA 6Gb/s | 2020-02-01発売
サムスン 970 EVO Plus MZ-V7S1T0B/IT,容量 1TB | MLC | M.2 (Type2280) | PCI-Express Gen3 | 2019-02-01発売
Crucial BX500 CT120BX500SSD1JP,容量 120GB | 3D MLC | 2.5インチ | Serial ATA 6Gb/s | 2018-10-14発売
エレコム ESD-EMN1000GBK,容量 1TB | USB
Adtec AD-M2GS80-1TB,容量 1TB | 3D TLC | M.2 (Type2280) | Serial ATA 6Gb/s | 2020-02-01発売
HIKVISION HS-SSD-E100/512G,容量 512GB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s
トランセンド TS512GMTS430S,容量 512GB | 3D MLC | M.2 (Type2242) | Serial ATA 6Gb/s
ADATA XPG SX8200 Pro ASX8200PNP-1TT-C,容量 1TB | 3D TLC | M.2 (Type2280) | PCI-Express Gen3 | 2019-02-27発売
SanDisk SSD PLUS SDSSDA-480G-G26,容量 480GB | 2.5インチ | Serial ATA 6Gb/s
ADATA Ultimate SU650 ASU650SS-1T92T-R,容量 1.92TB | 3D MLC | 2.5インチ | Serial ATA 6Gb/s | 2020-05-01発売
Western Digital WD Black SN750 NVMe WDS250G3X0C,容量 250GB | 3D MLC | M.2 (Type2280) | PCI-Express Gen3 | 2019-01-23発売
キングストン A2000 SSD SA2000M8/1000G,容量 1TB | 3D MLC | M.2 (Type2280) | PCI-Express Gen3
SanDisk SDSSDE30-2T00-J25,容量 2TB | USB | 2020-12-01発売
バッファロー SSD-PUT250U3-BKA,容量 250GB | USB | 2020-12-01発売
トランセンド MTS420 TS120GMTS420S,容量 120GB | 3D TLC | M.2 (Type2242) | Serial ATA 6Gb/s
Plextor M8VC Plus PX-1TM8VC+,容量 1TB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s | 2020-10-30発売
SanDisk SSD PLUS SDSSDA-120G-G27,容量 120GB | 2.5インチ | Serial ATA 6Gb/s
トランセンド TS500GSSD220Q,容量 500GB | QLC | 2.5インチ | Serial ATA 6Gb/s
SanDisk SSD PLUS SDSSDA-480G-J26,容量 480GB | TLC | 2.5インチ | Serial ATA 6Gb/s | 2016-06-01発売
トランセンド TS256GMSA230S,容量 256GB | 3D MLC | mSATA | Serial ATA 6Gb/s
Western Digital WD Red SA500 NAS SATA WDS500G1R0A,容量 500GB | 3D MLC | 2.5インチ | Serial ATA 6Gb/s | 2019-11-29発売
Western Digital WD Blue 3D NAND SATA WDS400T2B0A,容量 4TB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s
サムスン 870 QVO MZ-77Q4T0B/IT,容量 4TB | MLC | 2.5インチ | Serial ATA 6Gb/s | 2020-08-01発売
J&A Information LEVEN JS300 SSD JS300SSD120GB,容量 120GB | 2.5インチ | Serial ATA 6Gb/s
キングストン UV500 SSD SUV500MS/480G,容量 480GB | 3D TLC | mSATA | Serial ATA 6Gb/s
バッファロー SSD-PH1.0U3-BA,容量 1TB | USB | 2019-05-01発売
IODATA SSPH-UA480NV/E,容量 480GB | USB | 2019-08-01発売
Corsair Force Series MP600 CSSD-F2000GBMP600,容量 2TB | 3D TLC | M.2 (Type2280) | PCI-Express Gen4 | 2019-07-01発売
CFD CSSD-S6B240CG3VX,容量 240GB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s | 2019-03-01発売
IODATA SSPH-UA2N/E,容量 2TB | USB
Plextor M9PGN Plus PX-1TM9PGN +,容量 1TB | 3D TLC | M.2 (Type2280) | PCI-Express Gen3 | 2020-03-06発売
Seagate FireCuda 510 ZP500GM3A001,容量 500GB | 3D TLC | M.2 (Type2280) | PCI-Express Gen3
バッファロー SSD-PGM1.9U3-B,容量 1.9TB | USB | 2019-11-01発売
Western Digital WD Red SA500 NAS SATA WDS200T1R0A,容量 2TB | 3D MLC | 2.5インチ | Serial ATA 6Gb/s | 2019-11-29発売
Western Digital My Passport Go WDBMCG0020BBT-JESN,容量 2TB | USB | 2020-05-01発売
Crucial P2 CT250P2SSD8JP,容量 250GB | 3D QLC | M.2 (Type2280) | PCI-Express Gen3 | 2020-04-26発売
サムスン 870 QVO MZ-77Q1T0B/IT,容量 1TB | MLC | 2.5インチ | Serial ATA 6Gb/s | 2020-08-01発売
サムスン 860 EVO MZ-76E250B/IT,容量 250GB | MLC | 2.5インチ | Serial ATA 6Gb/s | 2018-02-01発売
Intel SSD 665p SSDPEKNW010T9X1,容量 1.024TB | 3D QLC | M.2 (Type2280) | PCI-Express Gen3 | 2020-02-28発売
グリーンハウス GH-SSDR2SA960,容量 960GB | TLC | 2.5インチ | Serial ATA 6Gb/s | 2018-08-01発売
トランセンド SSD230 TS256GSSD230S,容量 256GB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s
Biostar S120 S120-512GB,容量 512GB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s | 2019-12-12発売
エレコム ESD-EJ1000GBK,容量 1TB | USB | 2019-12-01発売
サムスン 970 EVO Plus MZ-V7S2T0B/IT,容量 2TB | MLC | M.2 (Type2280) | PCI-Express Gen3 | 2019-05-01発売
Plextor M9PGN Plus PX-512M9PGN +,容量 512GB | 3D TLC | M.2 (Type2280) | PCI-Express Gen3 | 2020-05-01発売
トランセンド 110S TS256GMTE110S,容量 256GB | 3D MLC | M.2 (Type2280) | PCI-Express Gen3
Intel SSD 660p SSDPEKNW010T8X1,容量 1.024TB | 3D QLC | M.2 (Type2280) | PCI-Express Gen3 | 2018-09-21発売
旭東エレクトロニクス SE800-128GB,容量 128GB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s | 2017-11-20発売
Team GX1 T253X1480G0C101,容量 480GB | 2.5インチ | Serial ATA 6Gb/s
IODATA SSPH-UT480K,容量 480GB | USB | 2019-04-01発売
サムスン T5 MU-PA1T0B/IT,容量 1TB | MLC | USB | 2017-09-01発売
Western Digital WD Blue 3D NAND SATA WDS200T2B0B,容量 2TB | 3D MLC | M.2 (Type2280) | Serial ATA 6Gb/s | 2017-08-01発売
Seagate BarraCuda 120 SSD ZA2000CM1A003,容量 2TB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s
バッファロー SSD-PG480U3-BA,容量 480GB | USB | 2019-02-01発売
バッファロー SSD-PG960U3-BA,容量 960GB | USB | 2019-02-01発売
Silicon Power Ace A55 SP256GBSS3A55S25,容量 256GB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s
ADATA Ultimate SU750 ASU750SS-256GT-C,容量 256GB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s
トランセンド SSD230 TS512GSSD230S,容量 512GB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s
バッファロー SSD-PGM960U3-W/N,容量 960GB | USB | 2019-11-01発売
トランセンド TS1TMTE110S,容量 1TB | 3D MLC | M.2 (Type2280) | PCI-Express Gen3
Crucial BX500 CT1000BX500SSD1,容量 1TB | 3D MLC | 2.5インチ | Serial ATA 6Gb/s
Winten WT200-SSD-128GB,容量 128GB | 3D MLC | 2.5インチ | Serial ATA 6Gb/s | 2020-05-21発売
トランセンド SSD220 TS480GSSD220S,容量 480GB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s
Western Digital My Passport Go WDBMCG0010BYT-WESN,容量 1TB | USB | 2019-08-01発売
Adtec AD-M2GP80-256G,容量 256GB | 3D TLC | M.2 (Type2280) | PCI-Express Gen3 | 2020-02-01発売
Plextor M9Pe(G) PX-256M9PeG,容量 256GB | 3D TLC | M.2 (Type2280) | PCI-Express Gen3 | 2018-03-01発売
Silicon Power Ace A55 SP001TBSS3A55S25,容量 1TB | 3D TLC | 2.5インチ | Serial ATA 6Gb/s
バッファロー SSD-PGM960U3-B,容量 960GB | USB | 2019-11-01発売
サムスン T5 MU-PA500B/IT,容量 500GB | MLC | USB | 2017-09-01発売
エレコム ESD-EMN0500GBK,容量 500GB | USB
IODATA SSPF-USC2T,容量 2TB | USB | 2020-07-01発売
Western Digital WD Red SA500 NAS SATA WDS100T1R0B,容量 1TB | 3D MLC | M.2 (Type2280) | Serial ATA 6Gb/s | 2019-11-29発売
Corsair Force Series MP600 CSSD-F1000GBMP600,容量 1TB | 3D TLC | M.2 (Type2280) | PCI-Express Gen4 | 2019-07-01発売
Western Digital WD Green WDS240G2G0A,容量 240GB | 2.5インチ | Serial ATA 6Gb/s | 2017-11-01発売
Western Digital WD Green WDS240G2G0B,容量 240GB | M.2 (Type2280) | Serial ATA 6Gb/s | 2018-01-01発売
