Noctua NH-L9i,トップフロー型 | 92x92x14 mm,5810
サイズ 白虎 弐 SCBYK-2000I,サイドフロー型 | 92x92x26 mm | 48.9 CFM | 2019-04-10発売,2838
クーラーマスター Hyper 212 EVO V2 RR-2V2E-18PK-R1,サイドフロー型 | 120x120x25 mm | 62.0 CFM | 2020-10-16発売,4895
ProArtist DESSERTS3,サイドフロー型 | 120x120x25 mm | 80.0 CFM | 2020-12-03発売,5980
Zalman CNPS80F,トップフロー型 | 2019-10-25発売,807
ASUS ROG RYUJIN 360,水冷型 | 120x120x25 mm | 121.8 CFM,29978
Noctua NH-L9a-AM4 chromax.black,トップフロー型 | 92x92x14 mm | 2020-03-07発売,6710
Deepcool GAMMAXX GTE V2 DP-MCH4-GMX-GTEV2,サイドフロー型 | 120x120x25 mm | 64.5 CFM | 2020-04-24発売,2480
Pccooler GI-X5B,サイドフロー型 | 120x120x26.5 mm | 65.0 CFM,3546
クーラーマスター MasterLiquid ML360L V2 ARGB MLW-D36M-A18PA-R2,水冷型 | 120x120x25 mm | 62.0 CFM | 2020-07-22発売,13761
Fractal Design Celsius+ S28 Prisma FD-W-2-S2802,水冷型 | 103.9 CFM | 2020-04-17発売,22693
Lian Li Galahad AIO 240 RGB,水冷型 | 120x120x26 mm | 69.2 CFM | 2020-07-28発売,13695
Lian Li Galahad AIO 360 RGB,水冷型 | 120x120x26 mm | 69.2 CFM | 2020-07-28発売,17050
Noctua NH-L9i chromax.black,トップフロー型 | 92x92x25 mm | 2019-11-08発売,6710
Fractal Design Celsius+ S24 Dynamic FD-W-2-S2401,水冷型 | 87.6 CFM | 2020-04-17発売,17682
ASUS TUF Gaming LC 240 RGB,水冷型 | 120x120x25 mm | 67.0 CFM | 2020-08-07発売,17106
Thermaltake Water 3.0 360 ARGB Sync CL-W234-PL12SW-A,水冷型 | 120x120x25 mm | 56.5 CFM | 2019-06-28発売,16566
Noctua NH-U12S chromax.black,サイドフロー型 | 120x120x25 mm | 2019-11-08発売,9880
クーラーマスター Hyper 212 Black Edition RR-212S-20PK-R1,サイドフロー型 | 120x120x25 mm | 42.0 CFM | 2019-07-26発売,4985
Corsair H60(2018) CW-9060036-WW,水冷型 | 120x120x25 mm | 57.2 CFM | 2018-04-27発売,6827
Deepcool GAMMAXX GT A-RGB DP-MCH4-GMX-GT-ARGB,サイドフロー型 | 120x120x25 mm | 64.5 CFM | 2020-04-24発売,4240
Deepcool GAMMAXX L360 A-RGB DP-H12CF-GL360-ARGB,水冷型 | 120x120x25 mm | 69.3 CFM | 2021-02-05発売,13946
Deepcool GAMMA ARCHER DP-MCAL-GA,トップフロー型 | 120x120x25 mm | 54.3 CFM | 2018-12-21発売,702
ASUS ROG STRIX LC 360 RGB,水冷型 | 120x120x25 mm | 81.0 CFM | 2020-02-01発売,25627
Cryorig H5 UNIVERSAL V2,サイドフロー型 | 140x140x13 mm | 65.0 CFM | 2017-12-15発売,6798
サイズ 無限伍 ARGB PLUS SCMG-5102AR,サイドフロー型 | 120x120x27 mm | 66.5 CFM | 2020-01-23発売,9328
Thermaltake TH360 ARGB Sync Snow Edition CL-W302-PL12SW-A,水冷型 | 120x120x25 mm | 59.3 CFM | 2020-11-27発売,14179
NZXT KRAKEN M22 RL-KRM22-01,水冷型 | 2018-03-01発売,10899
Thermaltake Contac Silent 12 CL-P039-AL12BL-A,サイドフロー型 | 120x120x25 mm | 74.3 CFM | 2017-03-01発売,2264
Deepcool GAMMAXX GTE V2 BLACK DP-MCH4-GMX-GTE-V2BK,サイドフロー型 | 120x120x25 mm | 64.5 CFM | 2020-04-24発売,2780
Noctua NH-U9S chromax.black,サイドフロー型 | 92x92x25 mm | 2020-12-10発売,9878
GELID Solutions Slim Silence AM4 CC-SSILENCE-AM4,トップフロー型 | 65x65x15 mm | 20.0 CFM | 2020-12-24発売,2980
Enermax LIQFUSION ELC-LF240-RGB,水冷型 | 120x120x25 mm | 102.2 CFM | 2018-06-29発売,14773
クーラーマスター MasterLiquid ML120L V2 RGB MLW-D12M-A18PC-R2,水冷型 | 120x120x25 mm | 62.0 CFM | 2020-07-22発売,7617
Corsair H100i RGB PLATINUM CW-9060039-WW,水冷型 | 120x120x25 mm | 75.0 CFM | 2018-12-15発売,13989
Ainex CC-06B,トップフロー型 | 96x96x25 mm | 45.0 CFM | 2018-07-24発売,1538
