Corsair CMW16GX4M2C3200C16,2 x 8GB | DDR4-2133(DDR4-3200) | DIMM,9977
G.Skill F4-2666C19D-16GNT,2 x 8GB | DDR4-2666 | DIMM,7216
Crucial CT16G4DFD832A,1 x 16GB | DDR4-3200 | DIMM,7427
Corsair CMK32GX4M2D3600C18,2 x 16GB | DDR4-2133(DDR4-3600) | DIMM,16770
Apacer DV.08G2K.KAM,1 x 8GB | DDR3-1600 | S.O.DIMM,2980
Crucial CT32G4DFD8266,1 x 32GB | DDR4-2666 | DIMM | 2019-11-01発売,14380
CFD D4N2666PS-8G,1 x 8GB | DDR4-2666 | S.O.DIMM,3498
CFD W4N2400PS-8G,2 x 8GB | DDR4-2400 | S.O.DIMM | 2018-03-01発売,7755
G.Skill F4-3600C18D-32GSXAS,2 x 16GB | DDR4-2133(DDR4-3600) | DIMM | 2020-10-09発売,16980
ESSENCORE KLEVV KD48GU880-36A180C,2 x 8GB | DDR4-3600 | DIMM,9579
トランセンド JetRam JM2666HLB-8G,1 x 8GB | DDR4-2666 | DIMM,3810
Crucial CT2K32G4SFD8266,2 x 32GB | DDR4-2666 | S.O.DIMM | 2019-11-01発売,28578
CFD Selection D4N3200CM-16GR,1 x 16GB | DDR4-3200 | S.O.DIMM | 2021-01-01発売,8270
アユート セレクトメモリー AU-2XM378A2K43CB1-CTD,2 x 16GB | DDR4-2666 | DIMM,12980
CFD D4U2666PS-16GC19,1 x 16GB | DDR4-2666 | DIMM | 2018-09-01発売,7205
G.Skill F4-3200C16D-16GTZRX,2 x 8GB | DDR4-3200 | DIMM,11979
ADATA AD4U2666732G19-D,2 x 32GB | DDR4-2666 | DIMM,24650
RAMMAX RM-SD1066-D8GB,2 x 4GB | DDR3-1066 | S.O.DIMM,3310
CFD Selection W4U2666CM-16GR,2 x 16GB | DDR4-2666 | DIMM | 2021-01-01発売,13585
Crucial CT32G4SFD832A,1 x 32GB | DDR4-3200 | S.O.DIMM,15250
Crucial Ballistix BL2K16G36C16U4R,2 x 16GB | DDR4-3600 | DIMM | 2020-03-27発売,19185
CFD D4U2400PS-8GC17,1 x 8GB | DDR4-2400 | DIMM | 2018-07-01発売,3530
CFD W4U2666CX1-16G,2 x 16GB | DDR4-2666 | DIMM | 2019-10-01発売,11410
Crucial CT2K32G4DFD832A,2 x 32GB | DDR4-3200 | DIMM,35475
umax UM-DDR4S-3200-8GB,1 x 8GB | DDR4-3200 | DIMM,3545
CFD W4U2666CX1-16G,2 x 16GB | DDR4-2666 | DIMM | 2019-10-01発売,11410
キングストン KVR32S22S8/8,1 x 8GB | DDR4-3200 | S.O.DIMM,4845
CFD Selection W4N2400CM-8G,2 x 8GB | DDR4-2400 | S.O.DIMM | 2016-09-01発売,7680
